kabupaten_kota,jumlah_penyakit_hipertensi,jumlah_penyakit_diabetes_mellitius,periode_update
Bojonegoro,154,15,Tahun 2021
Tuban,39,10,Tahun 2021
Lamongan,232,17,Tahun 2021
Gresik,20,30,Tahun 2021
Bangkalan,60,8,Tahun 2021
Sampang,10,2,Tahun 2021
Pamekasan,199,23,Tahun 2021
Sumenep,33,8,Tahun 2021
Kota Kediri,16,5,Tahun 2021
Kota Blitar,6,1,Tahun 2021
Kota Malang,47,14,Tahun 2021
Kota Probolinggo,13,6,Tahun 2021
Kota Pasuruan,45,5,Tahun 2021
Kota Mojokerto,29,6,Tahun 2021
Kota Madiun,37,10,Tahun 2021
Kota Surabaya,398,80,Tahun 2021
Kota Batu,8,2,Tahun 2021
Pacitan,96212,8,Tahun 2022
Ponorogo,83153,13,Tahun 2022
Trenggalek,214515,14,Tahun 2022
Tulungagung,136025,16,Tahun 2022
Blitar,352238,25,Tahun 2022
Kediri,178324,44,Tahun 2022
Malang,250150,22,Tahun 2022
Lumajang,144556,22,Tahun 2022
Jember,306464,32,Tahun 2022
Banyuwangi,352599,13,Tahun 2022
Bondowoso,40228,14,Tahun 2022
Situbondo,135359,18,Tahun 2022
Probolinggo,63179,12,Tahun 2022
Pasuruan,363031,29,Tahun 2022
Sidoarjo,504873,71,Tahun 2022
Mojokerto,201294,20,Tahun 2022
Jombang,257586,33,Tahun 2022
Nganjuk,103250,21,Tahun 2022
Madiun,59249,17,Tahun 2022
Magetan,188092,13,Tahun 2022
Ngawi,215085,28,Tahun 2022
Bojonegoro,278606,23,Tahun 2022
Tuban,224208,18,Tahun 2022
Lamongan,336361,23,Tahun 2022
Gresik,86156,55,Tahun 2022
Bangkalan,135602,13,Tahun 2022
Sampang,80409,8,Tahun 2022
Pamekasan,162074,11,Tahun 2022
Sumenep,252714,11,Tahun 2022
Kota Kediri,38204,8,Tahun 2022
Kota Blitar,37170,4,Tahun 2022
Kota Malang,128525,24,Tahun 2022
Kota Probolinggo,30920,8,Tahun 2022
Kota Pasuruan,52402,5,Tahun 2022
Kota Mojokerto,33244,6,Tahun 2022
Kota Madiun,38725,9,Tahun 2022
Kota Surabaya,685965,106,Tahun 2022
Kota Batu,30863,4,Tahun 2022
